media;threshold;image_id;level;title;description;type;genre
S;30;series-mystery-1;Mystery: level 1;Growing Suspicions;It's suspicious because nothing looks suspicious, and if it looks suspicious from the start it's obviously suspicious.;genre;9648
S;75;series-mystery-2;Mystery: level 2;Detective's Assistant;Now it's your business to know what other people don't know too.;genre;9648
S;150;series-mystery-3;Mystery: level 3;Genius Detective;You're already a genius at unraveling mysteries... but how is it possible that everywhere you go someone ends up dead?;genre;9648
S;300;series-mystery-4;Mystery: level MAX;Golden Truth;You can solve any mystery by now. The path to the Golden Land has already been revealed to you.;genre;9648
S;30;series-action-aventure-1;Action-Adv: level 1;;;genre;10759
S;75;series-action-aventure-2;Action-Adv: level 2;;;genre;10759
S;150;series-action-aventure-3;Action-Adv: level 3;;;genre;10759
S;300;series-action-aventure-4;Action-Adv: level MAX;;;genre;10759
S;30;series-comedy-1;Comedy: level 1;;;genre;35
S;75;series-comedy-2;Comedy: level 2;;;genre;35
S;150;series-comedy-3;Comedy: level 3;;;genre;35
S;300;series-comedy-4;Comedy: level MAX;;;genre;35
S;30;series-crime-1;Crime: level 1;;;genre;80
S;75;series-crime-2;Crime: level 2;;;genre;80
S;150;series-crime-3;Crime: level 3;;;genre;80
S;300;series-crime-4;Crime: level MAX;;;genre;80
S;30;series-documentary-1;Documentary: level 1;;;genre;99
S;75;series-documentary-2;Documentary: level 2;;;genre;99
S;150;series-documentary-3;Documentary: level 3;;;genre;99
S;300;series-documentary-4;Documentary: level MAX;;;genre;99
S;30;series-drama-1;Drama: level 1;;;genre;18
S;75;series-drama-2;Drama: level 2;;;genre;18
S;150;series-drama-3;Drama: level 3;;;genre;18
S;300;series-drama-4;Drama: level MAX;;;genre;18
S;30;sci-fi-fantasy-1;SciFi-Fantasy: level 1;;;genre;10765
S;75;sci-fi-fantasy-2;SciFi-Fantasy: level 2;;;genre;10765
S;150;sci-fi-fantasy-3;SciFi-Fantasy: level 3;;;genre;10765
S;300;sci-fi-fantasy-4;SciFi-Fantasy: level MAX;;;genre;10765
S;5;series-finished-1;Passed 5 Mark;The first step;Congratulations, you broke the magical number. Take a breath now, it will only get more difficult.;finished;
S;10;series-finished-2;Passed 10 Mark;Casual watcher;You're used to seeing character's eyes bigger than their nose. If they have any nose.;finished;
S;15;series-finished-3;Passed 15 Mark;A millionaire;You DID buy all of them, right?;finished;
S;20;series-finished-4;Passed 20 Mark;Bragging rights;That's... a lot. You can be proud of yourself, that's for sure.;finished;
S;25;series-finished-5;Passed 25 Mark;A lot of free time;Now pause, take a breath and stretch a bit. Remember not to sit too close to the screen.;finished;
S;30;series-finished-6;Passed 30 Mark;Not Even My Final Form;Your power level is way above others'. The only way is up.;finished;
S;35;series-finished-7;Passed 35 Mark;Gotta Watch Them All!;You should already know what that picture means.;finished;
S;40;series-finished-8;Passed 40 Mark;The Collector;No, wait. The plural of anime is anime.;finished;
S;45;series-finished-9;Passed 45 Mark;The Maniac;Is this healthy? You should contact your doctor.;finished;
S;50;series-finished-10;Passed 50 Mark;The Legend;You're one of the chosen ones. You don't even have to brag, since everyone heard about you.;finished;
S;75;series-finished-11;Passed 75 Mark;Database Breaker;Are you having fun, breaking all the rules?;finished;
S;100;series-finished-12;Passed 100 Mark;This Is It;There is no higher level. You can stop now. Everyone, go home.;finished;
S;30;series-time-1;Time: level 1;Hair Antenna;Whose watch time are you calling puny?;time;
S;75;series-time-2;Time: level 2;Endurance Training;By doing a daily ten-episode run, you are sure to become a master in no time!;time;
S;150;series-time-3;Time: level 3;Consciousness Upload;Consuming the medium becomes a lot easier once you yourself are raw data.;time;
S;300;series-time-4;Youth: WASTED;Wicked Cultured;By making a deal with the devil, you have ensured access to even the most obscure of materials.;time;
S;30;series-classic-1;Classics: level 1;Cassette Tape;The first time you watched these, you didn't even know what they were.;classic;
S;75;series-classic-2;Classics: level 2;Solid Color;Bomber jackets, high-waisted jeans, an overload of patterns, and bishies everywhere.;classic;
S;150;series-classic-3;Classics: level 3;It's Raining... Tragic Backstories!;It might be the nostalgia lens, but you swear things had more substance back then.;classic;
S;300;series-classic-4;Nostalgia: level MAX;Blockbuster;Man, do you feel old as all hell.;classic;
S;3;series-score-very-low;0/10. Play Next One;Less Than Three;Mean series score lower than 3. Is it hate, or is it love?;score;
S;5;series-score-low;My Eyes! It Hurts!;Watching Anime Is Suffering;Mean series score lower than 5. Someone has to counterweight the fanboys, right?;score;
S;8;series-score-high;10/10! EVERYTHING!;I Love Movies;Mean series score higher than 8. How about using the whole scale and re-rating stuff? That could make you look less like a fanboy...;score;
S;15;series-year;Tempus Fugit;Chronomaster;Your discerning eye has traveled across the aeons of animation.;year;
S;10;series-release-old;Pre-1980 Series;VHS Master Race;You overwrote my cartoons with The Karate Kid?! MOOOM!;old;
S;10;series-long-episodes;Series, That Is;I Like Them Long;Didn't fall asleep while watching long series. 100 episodes isn't a big deal to you.;long;
