id;title;main_story;main_plus_extras;completionist
1;688(I) Hunter/Killer;9.5;24.0;50.5
18;'Splosion Man;8.0;10.0;18.0
19;.hack//G.U. Vol. 1: Rebirth;20.5;25.5;39.0
20;.hack//G.U. Vol. 2: Reminisce;22.5;35.5;50.0
21;.hack//G.U. Vol. 3: Redemption;23.5;32.5;48.0
22;.hack//Infection;18.0;20.5;28.5
23;.hack//Link;29.0;49.5;
24;.hack//Mutation;16.5;21.5;32.0
25;.hack//Outbreak;19.5;20.0;22.0
26;.hack//Quarantine;17.5;20.5;24.5
27;007 Legends;6.5;7.5;9.0
28;007 Legends: Skyfall DLC;0.4166666666666667;;0.5
29;007 Racing;3.0;;
30;007: Licence to Kill;0.8;3.0;
31;0D Beat Drop;;;
32;1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby);1.0;;1.5
33;GO Series: 10 Second Run;1.0;2.5;
34;10-Yard Fight;0.35;0.6833333333333333;1.5
35;100 All-Time Favorites;;15.5;
36;100 Rogues;;;
37;1000 Amps;4.0;4.0;5.0
38;10000000;6.0;7.5;8.5
39;101-in-1 Explosive Megamix;;;20.0
40;102 Dalmatians: Puppies to the Rescue;6.5;7.5;8.5
41;1080 Snowboarding;3.0;7.0;11.5
42;1080° Avalanche;4.5;8.5;18.5
43;11eyes CrossOver;;;
44;11eyes ~Tsumi to Batsu to Aganai no Shoujo~;;;
46;15 Days;6.5;7.0;8.0
48;18 Wheeler: American Pro Trucker;1.0;;2.0
50;18 Wheels of Steel: American Long Haul;20.0;;
51;1916 - Der unbekannte Krieg;0.25;;0.4166666666666667
52;1924;0.25;;
54;1942;2.0;3.5;4.0
55;1942: Joint Strike;1.5;;
56;1943: The Battle of Midway;3.0;;
57;1944: The Loop Master;0.7833333333333333;0.8166666666666667;
58;1991 Du Ma Racing;;;
59;19XX: The War Against Destiny;0.5833333333333334;;4.0
60;2010 FIFA World Cup South Africa;;;
61;24: The Game;11.5;;
62;25 To Life;4.0;4.0;11.0
63;3 on 3 NHL Arcade;1.0;;1.5
65;3-D WorldRunner;1.5;2.0;
66;3079;3.0;3.5;3.5
67;3D Classics: Excitebike;1.5;5.5;5.5
69;3D Dot Game Heroes;15.5;22.0;27.5
70;3D Pinball Express;;;
71;3D Ultra MiniGolf Adventures;;;
72;3D Ultra MiniGolf Adventures 2;;;20.0
73;The 3-D Battles of WorldRunner;;;
74;3rd Super Robot Wars Alpha: To the End of the Galaxy;79.0;;
75;3SwitcheD;1.5;;
76;3Xtreme;0.8333333333333334;4.0;
77;4 Elements;8.5;9.0;10.0
78;4 Wheel Drive;0.6666666666666666;;
79;40 Winks;6.5;10.0;
80;400 Years;0.35;;
83;4x4 Hummer;7.0;;
84;5 Days a Stranger;3.0;;
85;50 Cent: Blood on the Sand;5.5;7.0;8.5
86;50 Cent: Bulletproof;6.0;;
87;6 Day Assassin;0.25;;
88;6 Days a Sacrifice;3.0;;
89;6 Degrees of Sabotage;0.25;;0.2833333333333333
90;60 Seconds Burger Run;0.08333333333333333;;0.25
91;60 Seconds Santa Run;0.25;;
93;7 Days a Skeptic;3.0;;
94;7 Wonders: Magical Mystery Tour;4.5;6.5;7.0
95;7 Wonders II;5.5;5.5;6.5
96;7 Wonders of the Ancient World;3.0;5.0;6.0
97;7 Wonders: Ancient Alien Makeover;5.5;9.0;12.0
98;7 Wonders: Treasures of Seven;7.0;7.5;9.0
100;720 Degrees;3.0;;3.0
101;7th Dragon;35.0;50.0;81.0
102;7th Dragon 2020;22.5;33.5;37.0
103;7th Dragon 2020-II;;34.0;35.0
104;8 Eyes;2.5;;
105;8-Bit Commando;0.8666666666666667;;4.0
107;80 Days: Around the World Adventure;8.0;;8.5
108;8Ball Allstars;;;8.0
109;90 Minutes;;;
110;99 Levels to Hell;8.0;13.0;60.0
111;999: Nine Hours, Nine Persons, Nine Doors;9.5;18.0;21.5
114;09:05;0.25;;
115;9th Company: Roots of Terror;4.0;;
116;9th Dawn;;;
117;:the game:;0.45;;0.5
119;A Boy and His Blob;9.5;10.0;18.0
120;A Boy and His Blob: Trouble on Blobolonia;0.9666666666666667;;3.0
121;A Bug's Life;5.5;11.5;12.5
122;A Collection of Activision Classic Games for the Atari 2600;;;
124;A Duck Has An Adventure;;;0.25
125;A Farewell to Dragons;;;
126;A Flipping Good Time;;;3.5
127;A Game of Dwarves;35.0;35.5;68.5
128;A Game of Thrones: Genesis;10.0;;63.0
130;A Hat in Time;8.5;12.5;15.0
131;A Kingdom for Keflings;6.0;17.0;33.5
132;A Mind Forever Voyaging;;;
133;A Nation of Wind;;;
134;A New Beginning;9.0;10.0;10.0
136;A Nightmare on Elm Street;1.0;2.0;
137;A Space Shooter For Two Bucks!;5.5;;20.0
138;A Stroke of Fate: Operation Valkyrie;7.0;;9.0
139;A Tale of Two Kingdoms;;;
140;A Valley Without Wind;17.5;;92.0
141;A Valley Without Wind 2;9.5;11.0;
142;A Vampyre Story;7.5;;7.5
143;A Virus Named Tom;4.0;11.0;27.0
144;A Walk in the Dark;3.5;4.0;13.0
145;A Witch's Tale;16.0;17.5;22.5
146;A World of Keflings;7.0;10.5;14.0
148;A-Train;;;
149;A.I.M. Racing;14.0;;
150;A.R.C. Squadron;3.0;;
152;A.R.E.S.: Extinction Agenda;2.0;3.0;8.0
153;AaAaAA!!! - A Reckless Disregard for Gravity;4.0;5.5;12.0
154;AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome;4.0;5.0;10.5
155;Abadox;;;
156;Abadox: The Deadly Inner War;0.75;1.0;1.5
157;Abarenbou Princess;;;
159;Abobo's Big Adventure;1.5;2.0;
161;Abuse;5.5;;
162;Quake Mission Pack: Abyss Of Pandemonium;5.0;;
163;Rock Band Track Pack: AC/DC Live;4.0;;4.0
165;Ace Attorney Investigations: Miles Edgeworth;23.0;24.0;24.0
166;Ace Combat 04: Shattered Skies;4.0;7.5;17.5
167;Ace Combat 2;3.5;6.5;13.0
168;Ace Combat 3: Electrosphere;4.5;13.0;33.0
169;Ace Combat 5: The Unsung War;7.0;14.5;31.5
170;Ace Combat 6: Fires of Liberation;10.5;19.0;
171;Ace Combat X: Skies of Deception;4.0;5.5;13.5
172;Ace Combat Zero: The Belkan War;4.0;8.5;25.5
173;Ace Combat: Assault Horizon;8.5;10.5;
174;Ace Combat: Assault Horizon - Enhanced Edition;8.5;32.5;77.0
175;Ace Combat: Assault Horizon Legacy;4.0;8.0;14.0
176;Ace Combat: Joint Assault;7.0;7.0;
177;Ace of Aces;;;
178;Ace of Spades;;;
179;Aces of the Pacific;;28.0;
180;Achievement Unlocked;0.25;0.38333333333333336;0.3333333333333333
181;Achron;70.0;;
182;Achtung Panzer: Kharkov 1943;;;
183;Acid Drop;;;
184;Acrophobia;;;
185;Across Age DX;;;22.0
186;Act of War: Direct Action;12.0;13.0;
187;Action Bass;5.5;;
188;Action Fighter;;;
189;Action Man: Raid on Island X;;;
191;ActRaiser;5.0;5.0;5.5
192;ActRaiser 2;4.5;;
193;Actua Soccer;;;
194;Actua Soccer: Club Edition;;;
196;Actual Sunlight;1.0;1.0;1.5
197;Adagio;;;2.0
198;Adam's Venture - Episode 1: The Search for the Lost Garden;1.5;2.0;2.0
199;Adam's Venture - Episode 2: Solomon's Secret;2.0;2.5;2.5
200;Adam's Venture - Episode 3: Revelations;2.0;2.0;2.5
201;Addams Family Values;;;
202;Adrenalin Misfits;;;
203;Advance Guardian Heroes;3.0;;
204;Advance Wars;14.0;20.5;29.5
205;Advance Wars 2: Black Hole Rising;26.5;37.0;87.0
206;Advance Wars: Days of Ruin;19.5;36.0;74.5
207;Advance Wars: Dual Strike;24.5;59.0;197.0
208;Advanced Dungeons & Dragons: Heroes of the Lance;4.0;;4.5
209;Advanced Dungeons & Dragons: Slayer;;;
210;Advent Rising;8.0;8.0;9.0
211;Adventure (1979);0.25;;0.75
212;Adventure Apes and the Mayan Mystery;;;
213;Adventure Bar Story;58.0;70.0;71.0
214;Adventure Island;0.9166666666666666;;2.0
215;Adventure Island II;2.5;;3.0
216;Adventure Island III;1.5;;
217;Adventure Island: The Beginning;2.0;;
219;Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!;5.0;5.5;7.0
220;Adventures in the Magic Kingdom;0.6666666666666666;;1.5
222;Adventures of Dino Riki;1.0;;
223;Adventures of Lolo;3.5;5.0;6.0
224;Adventures of Lolo 2;4.0;;
225;Adventures of Lolo 3;12.5;;
229;Adventures of Tron;;;
230;Adventures To Go!;;;
231;Aedis Eclipse: Generation of Chaos;;25.0;
232;Aegis Wing;2.5;4.5;8.0
233;Aeon Avenger;;;
234;Aeon Command;2.5;5.5;9.0
235;Aeon Flux;8.0;;
236;Aero Fighters;0.8166666666666667;1.0;1.0
237;Aero Fighters 2;0.8333333333333334;0.9166666666666666;1.0
238;Aero Fighters 3;0.6166666666666667;0.8333333333333334;1.0
239;Aero Fighters Assault;4.0;;22.0
241;Aero Porter;4.0;;
242;Aero the Acro-Bat;5.0;;5.0
243;Aero the Acro-Bat 2;4.5;;5.5
244;Aerobiz;;;
245;Aerobiz Supersonic;4.0;;
247;Aether;0.7833333333333333;0.8333333333333334;1.0
248;Afraid of Monsters;2.0;2.0;5.0
249;Afrika;24.0;;28.0
250;Afro Samurai;7.0;7.5;9.5
251;After Armageddon Gaiden;;;
252;After Burner;0.7833333333333333;;2.5
253;After Burner Climax;0.25;3.0;6.5
254;After Burner II;0.5833333333333334;0.8;2.5
255;After Burner III;0.08333333333333333;0.25;4.0
256;Afterfall: InSanity;6.5;8.5;17.0
257;Again: Interactive Crime Novel;10.5;;11.5
260;Agatha Christie: And Then There Were None;7.0;;7.0
261;Agatha Christie: Evil Under the Sun;9.0;;10.5
262;Agatha Christie: Murder on the Orient Express;8.0;10.0;10.0
263;Agatha Christie: The ABC Murders (2009);5.0;;
264;Age of Booty;;8.0;14.0
265;Age of Conan: Unchained;;;
266;Age of Empires;20.0;32.5;42.0
268;Age of Empires II: The Age of Kings;41.5;66.0;68.5
269;Age of Empires II: The Conquerors;48.0;56.5;89.5
270;Age of Empires III;15.0;16.5;28.0
271;Age of Empires III: The Asian Dynasties;9.0;11.0;35.0
272;Age of Empires III: The WarChiefs;8.0;10.0;35.0
273;Age of Empires: Mythologies;;13.0;20.0
274;Age of Empires: The Age of Kings;15.5;29.5;40.0
275;Age of Empires: The Rise of Rome;21.5;35.0;36.0
276;Age of Fear: The Undead King;15.0;;15.0
277;Age of Mythology;15.0;19.0;23.5
278;Age of Mythology: The Titans;9.5;16.5;17.5
281;Age of Wonders;21.0;35.0;52.0
282;Age of Wonders II: The Wizard's Throne;51.5;;58.0
283;Age of Wonders: Shadow Magic;32.0;64.0;86.0
284;Age of Zombies;2.0;;
285;Aggressive Inline;2.5;;30.0
288;AI War: Fleet Command;16.0;186.0;
289;Aidyn Chronicles: The First Mage;;53.0;
290;Aion;;;
291;Air Aces: Pacific;12.0;;
292;Air Buster / Aero Blasters;1.0;;
293;Air Combat;3.0;3.0;
